Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex0,0,0,0,0,0,0,0,0
LUTindex1,1.000454e+00,1.000227e+00,1.000181e+00,1.000091e+00,1,9.999093e-01,9.997733e-01,9.995466e-01
LUTindex2,2.000652e+00,2.000326e+00,2.000261e+00,2.000130e+00,2,1.999870e+00,1.999674e+00,1.999349e+00
LUTindex3,3.000525e+00,3.000262e+00,3.000210e+00,3.000105e+00,3,2.999895e+00,2.999738e+00,2.999476e+00
LUTindex4,4.000003e+00,4.000001e+00,4.000001e+00,4.000001e+00,4,3.999999e+00,3.999999e+00,3.999997e+00
LUTindex5,4.999315e+00,4.999658e+00,4.999726e+00,4.999863e+00,5,5.000137e+00,5.000342e+00,5.000685e+00
LUTindex6,5.998644e+00,5.999322e+00,5.999457e+00,5.999729e+00,6,6.000272e+00,6.000679e+00,6.001359e+00
LUTindex7,6.997841e+00,6.998920e+00,6.999135e+00,6.999568e+00,7,7.000433e+00,7.001082e+00,7.002166e+00
LUTindex8,7.996757e+00,7.998377e+00,7.998701e+00,7.999350e+00,8,8.000650e+00,8.001626e+00,8.003254e+00
LUTindex9,8.995244e+00,8.997620e+00,8.998096e+00,8.999048e+00,9,9.000953e+00,9.002383e+00,9.004770e+00
LUTindex10,9.993152e+00,9.996575e+00,9.997259e+00,9.998629e+00,10,1.000137e+01,1.000343e+01,1.000686e+01
LUTindex11,1.099033e+01,1.099517e+01,1.099613e+01,1.099807e+01,11,1.100193e+01,1.100484e+01,1.100967e+01
LUTindex12,1.198664e+01,1.199332e+01,1.199466e+01,1.199733e+01,12,1.200267e+01,1.200668e+01,1.201336e+01
LUTindex13,1.298257e+01,1.299128e+01,1.299303e+01,1.299651e+01,13,1.300349e+01,1.300872e+01,1.301743e+01
LUTindex14,1.397849e+01,1.398924e+01,1.399139e+01,1.399570e+01,14,1.400430e+01,1.401076e+01,1.402153e+01
LUTindex15,1.497404e+01,1.498701e+01,1.498961e+01,1.499480e+01,15,1.500520e+01,1.501300e+01,1.502601e+01
LUTindex16,1.596884e+01,1.598441e+01,1.598753e+01,1.599376e+01,16,1.600624e+01,1.601561e+01,1.603123e+01
LUTindex17,1.696253e+01,1.698125e+01,1.698500e+01,1.699250e+01,17,1.700750e+01,1.701877e+01,1.703756e+01
LUTindex18,1.795474e+01,1.797736e+01,1.798188e+01,1.799094e+01,18,1.800906e+01,1.802266e+01,1.804535e+01
LUTindex19,1.894509e+01,1.897254e+01,1.897803e+01,1.898901e+01,19,1.901099e+01,1.902748e+01,1.905497e+01
LUTindex20,1.993322e+01,1.996661e+01,1.997329e+01,1.998664e+01,20,2.001336e+01,2.003339e+01,2.006678e+01
LUTindex21,2.091982e+01,2.095991e+01,2.096793e+01,2.098397e+01,21,2.101603e+01,2.104008e+01,2.108015e+01
LUTindex22,2.190560e+01,2.195280e+01,2.196224e+01,2.198112e+01,22,2.201888e+01,2.204720e+01,2.209440e+01
LUTindex23,2.289010e+01,2.294504e+01,2.295603e+01,2.297801e+01,23,2.302199e+01,2.305498e+01,2.310998e+01
LUTindex24,2.387287e+01,2.393641e+01,2.394913e+01,2.397456e+01,24,2.402545e+01,2.406363e+01,2.412730e+01
LUTindex25,2.485344e+01,2.492669e+01,2.494135e+01,2.497067e+01,25,2.502934e+01,2.507337e+01,2.514679e+01
LUTindex26,2.583136e+01,2.591565e+01,2.593251e+01,2.596625e+01,26,2.603376e+01,2.608442e+01,2.616889e+01
LUTindex27,2.680616e+01,2.690306e+01,2.692244e+01,2.696122e+01,27,2.703879e+01,2.709699e+01,2.719402e+01
LUTindex28,2.777739e+01,2.788869e+01,2.791095e+01,2.795548e+01,28,2.804452e+01,2.811131e+01,2.822262e+01
LUTindex29,2.874465e+01,2.887235e+01,2.889788e+01,2.894895e+01,29,2.905105e+01,2.912760e+01,2.925516e+01
LUTindex30,2.970823e+01,2.985415e+01,2.988332e+01,2.994167e+01,30,3.005832e+01,3.014579e+01,3.029151e+01
LUTindex31,3.066867e+01,3.083437e+01,3.086750e+01,3.093375e+01,31,3.106623e+01,3.116557e+01,3.133107e+01
LUTindex32,3.162652e+01,3.181328e+01,3.185063e+01,3.192532e+01,32,3.207467e+01,3.218667e+01,3.237328e+01
LUTindex33,3.258233e+01,3.279118e+01,3.283295e+01,3.291648e+01,33,3.308352e+01,3.320879e+01,3.341756e+01
LUTindex34,3.353665e+01,3.376833e+01,3.381466e+01,3.390733e+01,34,3.409267e+01,3.423166e+01,3.446331e+01
LUTindex35,3.449003e+01,3.474501e+01,3.479601e+01,3.489800e+01,35,3.510200e+01,3.525499e+01,3.550998e+01
LUTindex36,3.544302e+01,3.572151e+01,3.577721e+01,3.588860e+01,36,3.611140e+01,3.627849e+01,3.655698e+01
LUTindex37,3.639464e+01,3.669733e+01,3.675786e+01,3.687893e+01,37,3.712107e+01,3.730266e+01,3.760532e+01
LUTindex38,3.734379e+01,3.767190e+01,3.773752e+01,3.786876e+01,38,3.813124e+01,3.832808e+01,3.865616e+01
LUTindex39,3.829116e+01,3.864559e+01,3.871647e+01,3.885824e+01,39,3.914176e+01,3.935440e+01,3.970878e+01
LUTindex40,3.923747e+01,3.961874e+01,3.969499e+01,3.984750e+01,40,4.015250e+01,4.038125e+01,4.076249e+01
LUTindex41,4.018342e+01,4.059171e+01,4.067337e+01,4.083669e+01,41,4.116331e+01,4.140828e+01,4.181655e+01
LUTindex42,4.112972e+01,4.156486e+01,4.165189e+01,4.182594e+01,42,4.217406e+01,4.243514e+01,4.287027e+01
LUTindex43,4.207707e+01,4.253853e+01,4.263083e+01,4.281541e+01,43,4.318459e+01,4.346147e+01,4.392294e+01
LUTindex44,4.302617e+01,4.351309e+01,4.361047e+01,4.380523e+01,44,4.419477e+01,4.448691e+01,4.497383e+01
LUTindex45,4.397662e+01,4.448831e+01,4.459065e+01,4.479533e+01,45,4.520467e+01,4.551169e+01,4.602337e+01
LUTindex46,4.492743e+01,4.546372e+01,4.557097e+01,4.578549e+01,46,4.621451e+01,4.653628e+01,4.707256e+01
LUTindex47,4.587875e+01,4.643938e+01,4.655150e+01,4.677575e+01,47,4.722425e+01,4.756063e+01,4.812125e+01
LUTindex48,4.683073e+01,4.741536e+01,4.753229e+01,4.776614e+01,48,4.823386e+01,4.858464e+01,4.916929e+01
LUTindex49,4.778351e+01,4.839175e+01,4.851340e+01,4.875670e+01,49,4.924330e+01,4.960826e+01,5.021652e+01
LUTindex50,4.873724e+01,4.936862e+01,4.949489e+01,4.974745e+01,50,5.025256e+01,5.063139e+01,5.126279e+01
LUTindex51,4.969207e+01,5.034603e+01,5.047683e+01,5.073841e+01,51,5.126159e+01,5.165397e+01,5.230795e+01
LUTindex52,5.064815e+01,5.132407e+01,5.145926e+01,5.172963e+01,52,5.227037e+01,5.267593e+01,5.335186e+01
LUTindex53,5.160518e+01,5.230259e+01,5.244207e+01,5.272104e+01,53,5.327896e+01,5.369740e+01,5.439480e+01
LUTindex54,5.256284e+01,5.328142e+01,5.342514e+01,5.371257e+01,54,5.428743e+01,5.471858e+01,5.543716e+01
LUTindex55,5.352135e+01,5.426067e+01,5.440854e+01,5.470427e+01,55,5.529573e+01,5.573933e+01,5.647867e+01
LUTindex56,5.448094e+01,5.524046e+01,5.539237e+01,5.569618e+01,56,5.630382e+01,5.675955e+01,5.751912e+01
LUTindex57,5.544183e+01,5.622091e+01,5.637672e+01,5.668836e+01,57,5.731164e+01,5.777911e+01,5.855824e+01
LUTindex58,5.640427e+01,5.720212e+01,5.736170e+01,5.768085e+01,58,5.831916e+01,5.879790e+01,5.959582e+01
LUTindex59,5.736846e+01,5.818422e+01,5.834738e+01,5.867369e+01,59,5.932631e+01,5.981579e+01,6.063160e+01
LUTindex60,5.833466e+01,5.916733e+01,5.933386e+01,5.966693e+01,60,6.033307e+01,6.083267e+01,6.166535e+01
LUTindex61,5.930404e+01,6.015203e+01,6.032162e+01,6.066081e+01,61,6.133919e+01,6.184796e+01,6.269591e+01
LUTindex62,6.027715e+01,6.113858e+01,6.131087e+01,6.165543e+01,62,6.234456e+01,6.286140e+01,6.372279e+01
LUTindex63,6.125279e+01,6.212640e+01,6.230112e+01,6.265056e+01,63,6.334944e+01,6.387359e+01,6.474717e+01
LUTindex64,6.222974e+01,6.311487e+01,6.329190e+01,6.364595e+01,64,6.435405e+01,6.488513e+01,6.577026e+01
LUTindex65,6.320681e+01,6.410340e+01,6.428272e+01,6.464136e+01,65,6.535864e+01,6.589661e+01,6.679323e+01
LUTindex66,6.418278e+01,6.509138e+01,6.527310e+01,6.563655e+01,66,6.636345e+01,6.690864e+01,6.781729e+01
LUTindex67,6.515644e+01,6.607821e+01,6.626257e+01,6.663128e+01,67,6.736872e+01,6.792181e+01,6.884363e+01
LUTindex68,6.612658e+01,6.706329e+01,6.725063e+01,6.762532e+01,68,6.837468e+01,6.893671e+01,6.987343e+01
LUTindex69,6.709259e+01,6.804630e+01,6.823704e+01,6.861852e+01,69,6.938147e+01,6.995368e+01,7.090735e+01
LUTindex70,6.805523e+01,6.902762e+01,6.922210e+01,6.961105e+01,70,7.038895e+01,7.097236e+01,7.194470e+01
