Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex0,0,0,0,0,0,0,0,0
LUTindex1,1.000432e+00,1.000216e+00,1.000173e+00,1.000086e+00,1,9.999137e-01,9.997842e-01,9.995684e-01
LUTindex2,2.000621e+00,2.000310e+00,2.000248e+00,2.000124e+00,2,1.999876e+00,1.999690e+00,1.999380e+00
LUTindex3,3.000500e+00,3.000250e+00,3.000200e+00,3.000100e+00,3,2.999900e+00,2.999750e+00,2.999501e+00
LUTindex4,4.000003e+00,4.000001e+00,4.000001e+00,4.000001e+00,4,3.999999e+00,3.999999e+00,3.999997e+00
LUTindex5,4.999348e+00,4.999674e+00,4.999739e+00,4.999870e+00,5,5.000130e+00,5.000326e+00,5.000652e+00
LUTindex6,5.998709e+00,5.999354e+00,5.999483e+00,5.999742e+00,6,6.000258e+00,6.000646e+00,6.001293e+00
LUTindex7,6.997945e+00,6.998972e+00,6.999177e+00,6.999588e+00,7,7.000412e+00,7.001030e+00,7.002062e+00
LUTindex8,7.996913e+00,7.998455e+00,7.998764e+00,7.999382e+00,8,8.000619e+00,8.001547e+00,8.003097e+00
LUTindex9,8.995473e+00,8.997735e+00,8.998188e+00,8.999094e+00,9,9.000907e+00,9.002268e+00,9.004540e+00
LUTindex10,9.993482e+00,9.996740e+00,9.997391e+00,9.998695e+00,10,1.000131e+01,1.000326e+01,1.000653e+01
LUTindex11,1.099080e+01,1.099540e+01,1.099632e+01,1.099816e+01,11,1.100184e+01,1.100460e+01,1.100921e+01
LUTindex12,1.198729e+01,1.199364e+01,1.199491e+01,1.199746e+01,12,1.200254e+01,1.200636e+01,1.201271e+01
LUTindex13,1.298341e+01,1.299170e+01,1.299336e+01,1.299668e+01,13,1.300332e+01,1.300830e+01,1.301659e+01
LUTindex14,1.397953e+01,1.398976e+01,1.399181e+01,1.399590e+01,14,1.400410e+01,1.401024e+01,1.402049e+01
LUTindex15,1.497529e+01,1.498764e+01,1.499011e+01,1.499505e+01,15,1.500495e+01,1.501237e+01,1.502475e+01
LUTindex16,1.597034e+01,1.598516e+01,1.598813e+01,1.599406e+01,16,1.600594e+01,1.601485e+01,1.602972e+01
LUTindex17,1.696434e+01,1.698216e+01,1.698572e+01,1.699286e+01,17,1.700714e+01,1.701786e+01,1.703574e+01
LUTindex18,1.795692e+01,1.797845e+01,1.798276e+01,1.799138e+01,18,1.800863e+01,1.802157e+01,1.804316e+01
LUTindex19,1.894774e+01,1.897386e+01,1.897909e+01,1.898954e+01,19,1.901046e+01,1.902615e+01,1.905232e+01
LUTindex20,1.993644e+01,1.996822e+01,1.997458e+01,1.998729e+01,20,2.001271e+01,2.003178e+01,2.006356e+01
LUTindex21,2.092368e+01,2.096185e+01,2.096948e+01,2.098474e+01,21,2.101526e+01,2.103815e+01,2.107628e+01
LUTindex22,2.191015e+01,2.195507e+01,2.196406e+01,2.198203e+01,22,2.201797e+01,2.204493e+01,2.208985e+01
LUTindex23,2.289540e+01,2.294769e+01,2.295815e+01,2.297907e+01,23,2.302093e+01,2.305233e+01,2.310467e+01
LUTindex24,2.387899e+01,2.393948e+01,2.395158e+01,2.397579e+01,24,2.402422e+01,2.406056e+01,2.412116e+01
LUTindex25,2.486050e+01,2.493022e+01,2.494417e+01,2.497208e+01,25,2.502793e+01,2.506983e+01,2.513971e+01
LUTindex26,2.583948e+01,2.591971e+01,2.593576e+01,2.596788e+01,26,2.603213e+01,2.608035e+01,2.616074e+01
LUTindex27,2.681550e+01,2.690773e+01,2.692618e+01,2.696309e+01,27,2.703692e+01,2.709231e+01,2.718467e+01
LUTindex28,2.778812e+01,2.789406e+01,2.791525e+01,2.795762e+01,28,2.804238e+01,2.810594e+01,2.821189e+01
LUTindex29,2.875722e+01,2.887863e+01,2.890291e+01,2.895146e+01,29,2.904854e+01,2.912133e+01,2.924262e+01
LUTindex30,2.972319e+01,2.986162e+01,2.988930e+01,2.994465e+01,30,3.005534e+01,3.013833e+01,3.027660e+01
LUTindex31,3.068632e+01,3.084319e+01,3.087455e+01,3.093728e+01,31,3.106271e+01,3.115677e+01,3.131349e+01
LUTindex32,3.164692e+01,3.182348e+01,3.185878e+01,3.192939e+01,32,3.207060e+01,3.217649e+01,3.235295e+01
LUTindex33,3.260529e+01,3.280265e+01,3.284212e+01,3.292106e+01,33,3.307894e+01,3.319734e+01,3.339467e+01
LUTindex34,3.356172e+01,3.378085e+01,3.382468e+01,3.391234e+01,34,3.408766e+01,3.421915e+01,3.443832e+01
LUTindex35,3.451651e+01,3.475825e+01,3.480660e+01,3.490330e+01,35,3.509671e+01,3.524177e+01,3.548355e+01
LUTindex36,3.546996e+01,3.573498e+01,3.578798e+01,3.589399e+01,36,3.610601e+01,3.626502e+01,3.653005e+01
LUTindex37,3.642111e+01,3.671057e+01,3.676846e+01,3.688423e+01,37,3.711577e+01,3.728941e+01,3.757881e+01
LUTindex38,3.736916e+01,3.768459e+01,3.774768e+01,3.787384e+01,38,3.812615e+01,3.831538e+01,3.863073e+01
LUTindex39,3.831485e+01,3.865744e+01,3.872596e+01,3.886298e+01,39,3.913701e+01,3.934253e+01,3.968502e+01
LUTindex40,3.925898e+01,3.962950e+01,3.970360e+01,3.985180e+01,40,4.014819e+01,4.037047e+01,4.074092e+01
LUTindex41,4.020230e+01,4.060116e+01,4.068093e+01,4.084047e+01,41,4.115953e+01,4.139882e+01,4.179762e+01
LUTindex42,4.114561e+01,4.157281e+01,4.165825e+01,4.182912e+01,42,4.217087e+01,4.242718e+01,4.285436e+01
LUTindex43,4.208965e+01,4.254483e+01,4.263586e+01,4.281793e+01,43,4.318207e+01,4.345517e+01,4.391033e+01
LUTindex44,4.303522e+01,4.351761e+01,4.361409e+01,4.380704e+01,44,4.419296e+01,4.448239e+01,4.496478e+01
LUTindex45,4.398178e+01,4.449089e+01,4.459271e+01,4.479635e+01,45,4.520365e+01,4.550911e+01,4.601823e+01
LUTindex46,4.492818e+01,4.546409e+01,4.557127e+01,4.578564e+01,46,4.621436e+01,4.653591e+01,4.707182e+01
LUTindex47,4.587468e+01,4.643734e+01,4.654987e+01,4.677494e+01,47,4.722507e+01,4.756266e+01,4.812533e+01
LUTindex48,4.682152e+01,4.741076e+01,4.752860e+01,4.776430e+01,48,4.823570e+01,4.858925e+01,4.917851e+01
LUTindex49,4.776893e+01,4.838446e+01,4.850757e+01,4.875378e+01,49,4.924622e+01,4.961555e+01,5.023110e+01
LUTindex50,4.871714e+01,4.935857e+01,4.948685e+01,4.974343e+01,50,5.025657e+01,5.064144e+01,5.128288e+01
LUTindex51,4.966641e+01,5.033320e+01,5.046656e+01,5.073328e+01,51,5.126672e+01,5.166680e+01,5.233361e+01
LUTindex52,5.061697e+01,5.130849e+01,5.144679e+01,5.172339e+01,52,5.227661e+01,5.269151e+01,5.338303e+01
LUTindex53,5.156849e+01,5.228425e+01,5.242740e+01,5.271370e+01,53,5.328630e+01,5.371575e+01,5.443150e+01
LUTindex54,5.252051e+01,5.326025e+01,5.340820e+01,5.370410e+01,54,5.429590e+01,5.473975e+01,5.547949e+01
LUTindex55,5.347326e+01,5.423663e+01,5.438930e+01,5.469465e+01,55,5.530535e+01,5.576338e+01,5.652677e+01
LUTindex56,5.442699e+01,5.521349e+01,5.537079e+01,5.568539e+01,56,5.631461e+01,5.678653e+01,5.757306e+01
LUTindex57,5.538193e+01,5.619096e+01,5.635276e+01,5.667638e+01,57,5.732362e+01,5.780906e+01,5.861814e+01
LUTindex58,5.633834e+01,5.716916e+01,5.733532e+01,5.766766e+01,58,5.833234e+01,5.883086e+01,5.966174e+01
LUTindex59,5.729644e+01,5.814821e+01,5.831857e+01,5.865928e+01,59,5.934072e+01,5.985180e+01,6.070362e+01
LUTindex60,5.825648e+01,5.912824e+01,5.930259e+01,5.965130e+01,60,6.034870e+01,6.087176e+01,6.174353e+01
LUTindex61,5.921956e+01,6.010979e+01,6.028783e+01,6.064392e+01,61,6.135608e+01,6.189020e+01,6.278039e+01
LUTindex62,6.018616e+01,6.109309e+01,6.127447e+01,6.163724e+01,62,6.236276e+01,6.290690e+01,6.381378e+01
LUTindex63,6.115515e+01,6.207758e+01,6.226207e+01,6.263103e+01,63,6.336896e+01,6.392241e+01,6.484481e+01
LUTindex64,6.212541e+01,6.306270e+01,6.325016e+01,6.362508e+01,64,6.437492e+01,6.493729e+01,6.587459e+01
LUTindex65,6.309580e+01,6.404790e+01,6.423832e+01,6.461916e+01,65,6.538084e+01,6.595211e+01,6.690423e+01
LUTindex66,6.406521e+01,6.503260e+01,6.522608e+01,6.561304e+01,66,6.638696e+01,6.696742e+01,6.793484e+01
LUTindex67,6.503250e+01,6.601625e+01,6.621300e+01,6.660650e+01,67,6.739351e+01,6.798377e+01,6.896755e+01
LUTindex68,6.599656e+01,6.699828e+01,6.719862e+01,6.759931e+01,68,6.840069e+01,6.900172e+01,7.000345e+01
LUTindex69,6.695669e+01,6.797835e+01,6.818268e+01,6.859134e+01,69,6.940866e+01,7.002164e+01,7.104326e+01
LUTindex70,6.791351e+01,6.895676e+01,6.916541e+01,6.958271e+01,70,7.041729e+01,7.104323e+01,7.208645e+01
LUTindex71,6.886774e+01,6.993387e+01,7.014710e+01,7.057355e+01,71,7.142645e+01,7.206613e+01,7.313226e+01
LUTindex72,6.982011e+01,7.091005e+01,7.112804e+01,7.156402e+01,72,7.243599e+01,7.308997e+01,7.417995e+01
LUTindex73,7.077135e+01,7.188566e+01,7.210852e+01,7.255426e+01,73,7.344575e+01,7.411438e+01,7.522879e+01
LUTindex74,7.172219e+01,7.286106e+01,7.308885e+01,7.354442e+01,74,7.445559e+01,7.513899e+01,7.627803e+01
LUTindex75,7.267335e+01,7.383664e+01,7.406930e+01,7.453465e+01,75,7.546536e+01,7.616343e+01,7.732693e+01
LUTindex76,7.362557e+01,7.481274e+01,7.505019e+01,7.552509e+01,76,7.647493e+01,7.718734e+01,7.837475e+01
LUTindex77,7.457957e+01,7.578974e+01,7.603179e+01,7.651589e+01,77,7.748413e+01,7.821034e+01,7.942076e+01
LUTindex78,7.553609e+01,7.676801e+01,7.701440e+01,7.750719e+01,78,7.849282e+01,7.923206e+01,8.046420e+01
LUTindex79,7.649585e+01,7.774790e+01,7.799832e+01,7.849915e+01,79,7.950085e+01,8.025215e+01,8.150434e+01
LUTindex80,7.745958e+01,7.872979e+01,7.898383e+01,7.949191e+01,80,8.050809e+01,8.127022e+01,8.254044e+01
LUTindex81,7.842810e+01,7.971407e+01,7.997126e+01,8.048563e+01,81,8.151436e+01,8.228589e+01,8.357174e+01
LUTindex82,7.940112e+01,8.070059e+01,8.096048e+01,8.148024e+01,82,8.251975e+01,8.329935e+01,8.459864e+01
LUTindex83,8.037750e+01,8.168878e+01,8.195103e+01,8.247552e+01,83,8.352447e+01,8.431115e+01,8.562224e+01
LUTindex84,8.135610e+01,8.267808e+01,8.294247e+01,8.347124e+01,84,8.452875e+01,8.532186e+01,8.664367e+01
LUTindex85,8.233579e+01,8.366792e+01,8.393434e+01,8.446717e+01,85,8.553282e+01,8.633204e+01,8.766405e+01
LUTindex86,8.331542e+01,8.465772e+01,8.492618e+01,8.546309e+01,86,8.653691e+01,8.734226e+01,8.868449e+01
LUTindex87,8.429386e+01,8.564693e+01,8.591755e+01,8.645877e+01,87,8.754123e+01,8.835306e+01,8.970612e+01
LUTindex88,8.526996e+01,8.663498e+01,8.690798e+01,8.745399e+01,88,8.854601e+01,8.936502e+01,9.073004e+01
LUTindex89,8.624304e+01,8.762152e+01,8.789722e+01,8.844861e+01,89,8.955139e+01,9.037847e+01,9.175695e+01
LUTindex90,8.721424e+01,8.860712e+01,8.888570e+01,8.944285e+01,90,9.055715e+01,9.139288e+01,9.278575e+01
LUTindex91,8.818416e+01,8.959208e+01,8.987367e+01,9.043683e+01,91,9.156317e+01,9.240791e+01,9.381583e+01
LUTindex92,8.915335e+01,9.057668e+01,9.086134e+01,9.143067e+01,92,9.256933e+01,9.342332e+01,9.484664e+01
LUTindex93,9.012235e+01,9.156117e+01,9.184894e+01,9.242447e+01,93,9.357553e+01,9.443883e+01,9.587766e+01
LUTindex94,9.109168e+01,9.254584e+01,9.283667e+01,9.341833e+01,94,9.458167e+01,9.545417e+01,9.690833e+01
LUTindex95,9.206188e+01,9.353094e+01,9.382475e+01,9.441237e+01,95,9.558763e+01,9.646907e+01,9.793813e+01
LUTindex96,9.303349e+01,9.451674e+01,9.481339e+01,9.540670e+01,96,9.659330e+01,9.748326e+01,9.896652e+01
LUTindex97,9.400671e+01,9.550335e+01,9.580268e+01,9.640134e+01,97,9.759866e+01,9.849664e+01,9.999329e+01
LUTindex98,9.498071e+01,9.649036e+01,9.679229e+01,9.739614e+01,98,9.860386e+01,9.950964e+01,1.010193e+02
LUTindex99,9.595542e+01,9.747771e+01,9.778217e+01,9.839109e+01,99,9.960891e+01,1.005223e+02,1.020446e+02
LUTindex100,9.693084e+01,9.846542e+01,9.877234e+01,9.938617e+01,100,1.006138e+02,1.015346e+02,1.030692e+02
LUTindex101,9.790695e+01,9.945348e+01,9.976278e+01,1.003814e+02,101,1.016186e+02,1.025465e+02,1.040931e+02
LUTindex102,9.888376e+01,1.004419e+02,1.007535e+02,1.013768e+02,102,1.026232e+02,1.035581e+02,1.051162e+02
LUTindex103,9.986127e+01,1.014306e+02,1.017445e+02,1.023723e+02,103,1.036277e+02,1.045694e+02,1.061387e+02
LUTindex104,1.008395e+02,1.024197e+02,1.027358e+02,1.033679e+02,104,1.046321e+02,1.055803e+02,1.071605e+02
LUTindex105,1.018184e+02,1.034092e+02,1.037274e+02,1.043637e+02,105,1.056363e+02,1.065908e+02,1.081815e+02
LUTindex106,1.027984e+02,1.043992e+02,1.047194e+02,1.053597e+02,106,1.066403e+02,1.076008e+02,1.092015e+02
LUTindex107,1.037793e+02,1.053897e+02,1.057117e+02,1.063559e+02,107,1.076441e+02,1.086103e+02,1.102207e+02
LUTindex108,1.047609e+02,1.063805e+02,1.067044e+02,1.073522e+02,108,1.086478e+02,1.096195e+02,1.112391e+02
LUTindex109,1.057430e+02,1.073715e+02,1.076972e+02,1.083486e+02,109,1.096514e+02,1.106285e+02,1.122570e+02
LUTindex110,1.067255e+02,1.083627e+02,1.086902e+02,1.093451e+02,110,1.106549e+02,1.116373e+02,1.132745e+02
LUTindex111,1.077081e+02,1.093541e+02,1.096833e+02,1.103416e+02,111,1.116584e+02,1.126459e+02,1.142919e+02
LUTindex112,1.086908e+02,1.103454e+02,1.106763e+02,1.113382e+02,112,1.126618e+02,1.136546e+02,1.153092e+02
LUTindex113,1.096733e+02,1.113367e+02,1.116693e+02,1.123347e+02,113,1.136653e+02,1.146633e+02,1.163267e+02
LUTindex114,1.106561e+02,1.123281e+02,1.126624e+02,1.133312e+02,114,1.146688e+02,1.156719e+02,1.173439e+02
LUTindex115,1.116391e+02,1.133196e+02,1.136556e+02,1.143278e+02,115,1.156722e+02,1.166804e+02,1.183609e+02
LUTindex116,1.126224e+02,1.143112e+02,1.146489e+02,1.153245e+02,116,1.166755e+02,1.176888e+02,1.193776e+02
LUTindex117,1.136058e+02,1.153029e+02,1.156423e+02,1.163212e+02,117,1.176788e+02,1.186971e+02,1.203942e+02
LUTindex118,1.145895e+02,1.162948e+02,1.166358e+02,1.173179e+02,118,1.186821e+02,1.197052e+02,1.214105e+02
LUTindex119,1.155734e+02,1.172867e+02,1.176294e+02,1.183147e+02,119,1.196853e+02,1.207133e+02,1.224266e+02
LUTindex120,1.165574e+02,1.182787e+02,1.186230e+02,1.193115e+02,120,1.206885e+02,1.217213e+02,1.234426e+02
