Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex0,0,0,0,0,0,0,0,0
LUTindex1,1.000446e+00,1.000223e+00,1.000178e+00,1.000089e+00,1,9.999108e-01,9.997771e-01,9.995543e-01
LUTindex2,2.000641e+00,2.000320e+00,2.000256e+00,2.000128e+00,2,1.999872e+00,1.999680e+00,1.999360e+00
LUTindex3,3.000516e+00,3.000258e+00,3.000206e+00,3.000103e+00,3,2.999897e+00,2.999742e+00,2.999485e+00
LUTindex4,4.000003e+00,4.000001e+00,4.000001e+00,4.000001e+00,4,3.999999e+00,3.999999e+00,3.999997e+00
LUTindex5,4.999327e+00,4.999663e+00,4.999731e+00,4.999865e+00,5,5.000135e+00,5.000337e+00,5.000673e+00
LUTindex6,5.998667e+00,5.999333e+00,5.999466e+00,5.999733e+00,6,6.000267e+00,6.000668e+00,6.001336e+00
LUTindex7,6.997877e+00,6.998938e+00,6.999150e+00,6.999575e+00,7,7.000425e+00,7.001064e+00,7.002130e+00
LUTindex8,7.996812e+00,7.998405e+00,7.998723e+00,7.999361e+00,8,8.000639e+00,8.001598e+00,8.003199e+00
LUTindex9,8.995324e+00,8.997660e+00,8.998128e+00,8.999064e+00,9,9.000937e+00,9.002343e+00,9.004689e+00
LUTindex10,9.993268e+00,9.996633e+00,9.997306e+00,9.998653e+00,10,1.000135e+01,1.000337e+01,1.000674e+01
LUTindex11,1.099050e+01,1.099525e+01,1.099620e+01,1.099810e+01,11,1.100190e+01,1.100475e+01,1.100951e+01
LUTindex12,1.198687e+01,1.199343e+01,1.199475e+01,1.199737e+01,12,1.200263e+01,1.200657e+01,1.201313e+01
LUTindex13,1.298286e+01,1.299143e+01,1.299315e+01,1.299657e+01,13,1.300343e+01,1.300857e+01,1.301714e+01
LUTindex14,1.397885e+01,1.398942e+01,1.399154e+01,1.399577e+01,14,1.400423e+01,1.401058e+01,1.402116e+01
LUTindex15,1.497448e+01,1.498723e+01,1.498979e+01,1.499489e+01,15,1.500511e+01,1.501278e+01,1.502556e+01
LUTindex16,1.596937e+01,1.598468e+01,1.598774e+01,1.599387e+01,16,1.600613e+01,1.601534e+01,1.603070e+01
LUTindex17,1.696317e+01,1.698157e+01,1.698526e+01,1.699263e+01,17,1.700738e+01,1.701845e+01,1.703692e+01
LUTindex18,1.795550e+01,1.797774e+01,1.798219e+01,1.799109e+01,18,1.800891e+01,1.802228e+01,1.804458e+01
